Date,Close,Open,High,Low,Volume,Up&Down,Rate
2015-07-13,9410,9330,9430,9280,1818099,1.074113856,
2015-07-14,9450,9490,9580,9400,2192198,0.425079702,
2015-07-15,8930,9390,9500,8880,8569393,-5.502645503,
2015-07-16,9140,9040,9150,9010,2608329,2.35162374,
2015-07-17,8980,9170,9170,8850,4050717,-1.750547046,
2015-07-20,8930,8980,8990,8850,2107698,-0.556792873,
2015-07-21,9040,8950,9190,8950,1974366,1.231802912,
2015-07-22,8920,9000,9000,8870,1932437,-1.327433628,
2015-07-23,9060,8910,9060,8900,1366497,1.569506726,
2015-07-24,8960,9080,9080,8910,1564948,-1.103752759,
2015-07-27,9110,8960,9140,8900,2845858,1.674107143,
2015-07-28,9170,9060,9190,9020,2682198,0.658616905,
2015-07-29,9090,9160,9160,9080,1394210,-0.872410033,
2015-07-30,9540,9160,9610,9130,4918158,4.95049505,
2015-07-31,9540,9630,9630,9370,2824382,0,
2015-08-03,9500,9550,9590,9440,1164337,-0.419287212,
2015-08-04,9530,9540,9650,9470,1664001,0.315789474,
2015-08-05,9400,9510,9550,9380,1390716,-1.364113326,
2015-08-06,9490,9470,9640,9450,1863241,0.957446809,
2015-08-07,9490,9470,9540,9440,667076,0,
2015-08-10,9580,9500,9620,9480,1606119,0.948366702,
2015-08-11,9400,9580,9590,9390,1564325,-1.878914405,
2015-08-12,9390,9400,9450,9270,1404785,-0.106382979,
2015-08-13,9260,9390,9430,9250,1483903,-1.384451544,
2015-08-17,9360,9340,9450,9280,1064991,1.079913607,
2015-08-18,9490,9370,9550,9370,1606859,1.388888889,
2015-08-19,9450,9490,9510,9390,1351856,-0.421496312,
2015-08-20,9170,9390,9390,9100,1822184,-2.962962963,
2015-08-21,9020,9000,9070,8940,2407970,-1.635768811,
2015-08-24,8840,9010,9010,8720,3161294,-1.99556541,
2015-08-25,8910,8880,8980,8770,2419595,0.791855204,
2015-08-26,9010,8870,9030,8760,2228478,1.122334456,
2015-08-27,8890,9070,9150,8860,3248505,-1.331853496,
2015-08-28,9050,9080,9130,8950,2988222,1.799775028,
2015-08-31,9120,9040,9120,8950,1966643,0.773480663,
2015-09-01,9000,9100,9130,9000,1095172,-1.315789474,
2015-09-02,9040,8920,9060,8900,1078415,0.444444444,
2015-09-03,8940,9050,9070,8940,1172834,-1.10619469,
2015-09-04,8920,8920,8960,8870,1126383,-0.223713647,
2015-09-07,8960,8910,8990,8880,856394,0.448430493,
2015-09-08,8950,8980,8990,8890,837362,-0.111607143,
2015-09-09,9110,9000,9110,8970,1876394,1.787709497,
2015-09-10,9410,9060,9430,9040,2775893,3.293084523,
2015-09-11,9350,9360,9460,9260,1548667,-0.637619554,
2015-09-14,9410,9400,9550,9290,1597306,0.64171123,
2015-09-15,9470,9410,9520,9360,1005138,0.637619554,
2015-09-16,9480,9510,9560,9460,1734846,0.105596621,
2015-09-17,9520,9540,9580,9460,1518503,0.421940928,
2015-09-18,9330,9420,9420,9240,2202305,-1.995798319,
2015-09-21,9300,9300,9310,9220,822101,-0.321543408,
2015-09-22,9370,9320,9430,9300,714900,0.752688172,
2015-09-23,9210,9310,9340,9160,1132165,-1.707577375,
2015-09-24,9220,9240,9270,9160,955093,0.108577633,
2015-09-25,9180,9230,9240,9110,1053530,-0.433839479,
2015-09-30,9390,9200,9390,9140,2281917,2.287581699,
2015-10-01,9480,9400,9560,9320,1693974,0.958466454,
2015-10-02,9430,9530,9530,9380,820000,-0.52742616,
2015-10-05,9330,9430,9450,9290,1470354,-1.060445387,
2015-10-06,9380,9360,9410,9290,1135907,0.535905681,
2015-10-07,9300,9320,9370,9260,1260070,-0.852878465,
2015-10-08,9450,9300,9460,9250,2146039,1.612903226,
2015-10-12,9630,9460,9670,9430,3275214,1.904761905,
2015-10-13,9580,9640,9680,9520,1638106,-0.5192108,
2015-10-14,9630,9510,9690,9510,1935250,0.521920668,
2015-10-15,9870,9650,9930,9640,3171122,2.492211838,
2015-10-16,9950,9950,9990,9860,2160911,0.810536981,
2015-10-19,9840,9880,9940,9770,1370868,-1.105527638,
2015-10-20,9900,9830,9930,9750,1098710,0.609756098,
2015-10-21,9960,9910,10000,9900,1633237,0.606060606,
2015-10-22,9990,10000,10250,9960,2498043,0.301204819,
2015-10-23,9930,10100,10150,9900,1691163,-0.600600601,
2015-10-26,9890,9970,10100,9870,1539403,-0.402819738,
2015-10-27,9970,9930,10000,9890,838618,0.808897877,
2015-10-28,9810,10000,10050,9750,1496804,-1.604814443,
2015-10-29,9750,9810,9860,9670,1384762,-0.611620795,
2015-10-30,9920,9830,9960,9790,1948844,1.743589744,
2015-11-02,9870,9900,9970,9750,1164239,-0.504032258,
2015-11-03,10000,9900,10050,9890,1349513,1.317122594,
2015-11-04,10150,10050,10150,9990,2382306,1.5,
2015-11-05,10050,10100,10150,9960,1442754,-0.985221675,
2015-11-06,9900,10050,10100,9900,949335,-1.492537313,
2015-11-09,9990,9960,10100,9870,1472537,0.909090909,
2015-11-10,10050,9980,10200,9940,2213554,0.600600601,
2015-11-11,9790,9990,10000,9790,1698748,-2.587064677,
2015-11-12,9860,9890,9890,9760,797136,0.715015322,
2015-11-13,9630,9760,9780,9570,1538246,-2.332657201,
2015-11-16,9490,9510,9590,9420,1395207,-1.453790239,
2015-11-17,9630,9650,9730,9590,1012198,1.475237092,
2015-11-18,9450,9610,9610,9430,1529804,-1.869158879,
2015-11-19,9650,9460,9670,9460,1124288,2.116402116,
2015-11-20,9700,9650,9710,9580,829634,0.518134715,
2015-11-23,9620,9660,9720,9570,941378,-0.824742268,
2015-11-24,9740,9620,9800,9610,1018607,1.247401247,
2015-11-25,9680,9720,9740,9670,880341,-0.616016427,
2015-11-26,9660,9680,9750,9640,744433,-0.20661157,
2015-11-27,9720,9690,9740,9630,825497,0.621118012,
2015-11-30,9490,9900,9940,9490,2702532,-2.366255144,
2015-12-01,9530,9550,9610,9500,1204458,0.421496312,
2015-12-02,9400,9520,9560,9350,1166235,-1.364113326,
2015-12-03,9320,9340,9380,9260,1016394,-0.85106383,
2015-12-04,9240,9280,9360,9230,1172541,-0.858369099,
2015-12-07,9190,9310,9320,9190,869574,-0.541125541,
2015-12-08,9130,9200,9260,9130,973984,-0.652883569,
2015-12-09,9090,9130,9190,9060,1107065,-0.438116101,
2015-12-10,9190,9100,9210,9060,1769201,1.100110011,
2015-12-11,9050,9180,9180,9040,1568863,-1.523394995,
2015-12-14,9120,8960,9120,8930,1112507,0.773480663,
2015-12-15,9030,9030,9120,8920,2103898,-0.986842105,
2015-12-16,9180,9120,9190,9070,1879642,1.661129568,
2015-12-17,9050,9230,9240,8960,2977745,-1.416122004,
2015-12-18,8990,9000,9040,8950,2485740,-0.662983425,
2015-12-21,9010,8990,9080,8990,1753369,0.22246941,
2015-12-22,9070,9040,9120,9010,1625404,0.665926748,
2015-12-23,9160,9100,9210,9060,1495012,0.992282249,
2015-12-24,9180,9200,9250,9180,1329259,0.218340611,
2015-12-28,9160,9190,9260,9150,2415905,-0.217864924,
2015-12-29,8900,9000,9020,8830,2297300,-2.838427948,
